"guid","name","summary","start date","end date","related person 1","related person 2","related person 3","related person 4","related person 5","personal related person 1","personal related person 2","personal related person 3","related event 1","related event 2","related event 3","related event 4","related event 5","personal related event 1","personal related event 2","personal related event 3","notes","personal notes","source & license","tags"
"wu8I<wCf$X","French Revolution","Political and social upheaval that ended the French monarchy and reshaped Europe.","1789","1799","Karl Marx (1818–1883): Analyzed the Revolution as a key example of class struggle.","Louis Blanc (1811–1882): Later interpreted and wrote about the Revolution in the context of social justice.","Marie Antoinette (1755–1793): the last Queen of France before the fall of the monarchy during the French Revolution. She was executed.","Napoleon Bonaparte (1769–1821): Rose to prominence as a military leader in the revolutionary wars.","","","","","Congress of Vienna (1814–1815): Aimed to restore order after the revolutionary and Napoleonic era.","Napoleonic Wars (1803–1815): Revolutionary France’s conflicts evolved into the Napoleonic Wars.","Paris Commune (1871): Later radical movements in Paris drew on revolutionary traditions.","","","","","","Introduced radical reforms and inspired revolutionary movements worldwide.","","ChatGPT 5.1","UH::Period::18th_Century, UH::Region::Europe"
"IySH}sN{1H","Great Exhibition","First world's fair showcasing industrial and cultural achievements; held in the Crystal Palace and attracted 6 million visitors.","1851","","Prince Albert of Saxe-Coburg and Gotha (1819–1861): Principal organizer and driving force behind the Great Exhibition.","Queen Victoria (1819–1901): Opened the exhibition and was heavily involved in its planning.","","","","","","","Industrial Revolution (c. 1760–c. 1840): Showcased the achievements of industrialization.","Second Industrial Revolution (1870–1914): Led into further technological advancement.","Victorian Era (1837–1901): The Great Exhibition was the defining cultural event of the era.","","","","","","Generated £186,000 surplus used to found the V&amp;A Museum, Science Museum, and Natural History Museum.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"w/X6b)c6Fh","Hungarian Revolution of 1848–1849","Hungarian uprising against Habsburg rule seeking independence and liberal reforms; inspired by wider European revolutions but crushed by combined Austrian and Russian forces.","1848","1849","Franz Joseph I of Austria (1830–1916): Emperor who called in Russian military aid to crush the revolution.","Lajos Kossuth (1802–1894): Political leader who became virtual dictator and head of state after Hungary declared independence.","Nicholas I of Russia (1796–1855): Tsar who sent 300,000+ troops to help Austria defeat Hungary.","","","","","","Congress of Vienna (1814–1815): Established the Habsburg dominance over Hungary that revolutionaries sought to overthrow.","Revolutions of 1848 (1848–1849): The Hungarian Revolution was part of this wider wave of European revolutions.","Victorian Era (1837–1901): Contemporary period during which this occurred.","","","","","","Revolution began March 15, 1848, with 12 points of demands including press freedom and independent Hungarian ministry. Hungary declared independence and dethroned the Habsburgs on April 14, 1849. Crushed by Austro-Russian forces; last Hungarian units surrendered August 13, 1849. Followed by harsh Austrian martial law until 1867.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"n0Oxm/&Y]S","Indian Rebellion","Major uprising by Indian soldiers and civilians against British East India Company rule; led to direct British Crown control of India.","1857","1858","Bahadur Shah Zafar (1775–1862): Last Mughal emperor, nominally restored to power by rebels in Delhi.","Queen Victoria (1819–1901): Became Empress of India following the rebellion's suppression.","Rani of Jhansi (1828–1858): Queen of Jhansi who led one of the most famous resistance campaigns against the British.","","","","","","Crimean War (1853–1856): British military context of the period, shortly before the rebellion.","Scramble for Africa (1881–1914): Part of broader 19th century imperial expansion.","Victorian Era (1837–1901): Occurred during Victoria's reign, led to major changes in British India policy.","","","","","","Also known as the Sepoy Mutiny. Led to the dissolution of the East India Company and establishment of the British Raj under the Crown.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Asia"
"wXiY(xtcVV","Industrial Revolution","Transition to mechanized production, steam power, and factories; massive changes in work, population, and technology.","c. 1760","c. 1840","George Stephenson (1781–1848): Pioneered steam locomotives, making rail transport a hallmark of industrial change.","Isambard Kingdom Brunel (1806–1859): Engineered railways and bridges that became icons of industrial engineering.","James Watt (1736–1819): Improved the steam engine, helping to trigger the shift to mechanized industry.","","","","","","American Civil War (1861–1865): Industrial capacity, especially in the North, shaped the course of the conflict.","Expansion of Railways (1830–1870): Railway construction was a major outcome and driver of industrialization.","Second Industrial Revolution (1870–1914): Built upon earlier industrial changes with new technologies and industries.","","","","","","Child labor laws, public health reforms, and modern labor movements all emerged as direct responses to industrial society’s problems.","","ChatGPT 5.1","UH::Period::18th_Century, UH::Period::19th_Century, UH::Region::Europe"
"OTfFrU^?wV","Napoleonic Wars","A series of major European conflicts led by Napoleon’s French Empire against various coalitions.","1803","1815","Alexander I of Russia (1777–1825): Allied against Napoleon and played a key role in his eventual defeat.","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Commanded British and allied forces, defeating Napoleon at Waterloo.","Napoleon Bonaparte (1769–1821): Led France in a series of campaigns that reshaped Europe.","","","","","","Congress of Vienna (1814–1815): Settlement that ended the wars and reshaped Europe.","French Revolution (1789–1799): The wars grew out of the revolutionary upheavals in France.","Peninsular War (1808–1814): One of the major campaigns of the broader Napoleonic conflict.","","","","","","These wars dramatically redrew Europe’s borders and spread Napoleonic legal reforms far beyond France. They also accelerated nationalism in Germany, Italy, and Spain.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"dgiyJ+Cd>z","Paris Commune","Radical socialist government that briefly ruled Paris.","1871","","Karl Marx (1818–1883): Celebrated the Commune as a prototype of proletarian government.","Louis Blanc (1811–1882): Long-time advocate of social republicanism whose ideas resonated with Communards.","Victor Hugo (1802–1885): Reflected on Parisian upheavals in his political and literary work.","","","","","","Franco-Prussian War (1870–1871): The defeat of France and siege of Paris set the stage for the Commune.","French Revolution (1789–1799): Communards drew inspiration from earlier revolutionary traditions.","Second French Republic (1848–1852): Its collapse and the failure of moderate republicanism helped radicalize Parisian politics.","","","","","","Regarded as an early precursor to later socialist and revolutionary movements.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"i#?*IF]#=y","Peninsular War","Conflict in Iberia against Napoleon, involving Spain, Portugal, and Britain.","1808","1814","Arthur Wellesley, 1st Duke of Wellington (1769–1852): Led British forces in Spain and Portugal against Napoleon.","Ludwig van Beethoven (1770–1827): Reacted artistically to the anti-Napoleonic struggle in works like “Wellington’s Victory”.","Napoleon Bonaparte (1769–1821): Ordered the invasion of the Iberian Peninsula in his struggle with Britain.","","","","","","Congress of Vienna (1814–1815): Diplomats later addressed the consequences of these campaigns.","French Invasion of Russia (1812): Another major campaign that strained Napoleon’s resources.","Napoleonic Wars (1803–1815): Fought as part of the wider struggle between Napoleon and his enemies.","","","","","","A major drain on French resources and a turning point against Napoleon.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"Q.Fy5g&S2Y","Peruvian War of Independence","Independence struggle led first by San Martín who declared independence in 1821, then by Bolívar who secured final victory; culminated in the decisive battles of Junín and Ayacucho in 1824, ending Spanish rule in South America.","1820","1824","Antonio José de Sucre (1795–1830): Commanded the decisive Battle of Ayacucho in 1824.","José de San Martín (1778–1850): Led the Liberating Expedition from the south, declared independence July 28, 1821, and served as Protector.","Simón Bolívar (1783–1830): Led the northern expedition, took command after San Martín's departure in 1822.","","","","","","Congress of Angostura (1819): Bolívar's earlier revolutionary congress.","Napoleonic Wars (1803–1815): Weakened Spanish colonial control.","Venezuelan War of Independence (1810–1823): Part of the broader South American independence struggle.","","","","","","San Martín landed at Pisco September 1820. Independence declared July 28, 1821 in Lima. Guayaquil Conference July 26, 1822 between San Martín and Bolívar to decide Peru's political fate; San Martín departed September 22, 1822. Bolívar arrived Lima December 10, 1823. Battle of Junín August 6, 1824 commanded by Bolívar. Battle of Ayacucho December 9, 1824 commanded by Sucre secured independence of Peru and all South America.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::South_America"
"mA?9~5g^`j","Publication of <i>On the Origin of Species</i>","Darwin's groundbreaking work presenting the theory of evolution by natural selection; foundation of modern evolutionary biology.","1859","","Alfred Russel Wallace (1823–1913): Co-discoverer of natural selection who independently conceived similar ideas.","Charles Darwin (1809–1882): Author who presented the theory of evolution by natural selection.","Thomas Henry Huxley (1825–1895): Prominent biologist who became Darwin's most vocal defender.","","","","","","Second Industrial Revolution (1870–1914): Part of broader scientific revolution of the 19th century.","Victorian Era (1837–1901): Published during Victoria's reign, major scientific achievement of the era.","Voyage of the HMS <i>Beagle</i> (1831–1836): Darwin's voyage provided crucial observations for the theory.","","","","","","Sold out immediately upon publication. Generated major scientific and religious controversy but was quickly embraced by the scientific community.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"@!&(bu)M)@","Reign of Terror","Period of mass executions (1793-1794) led by the Committee of Public Safety; approximately 17,000 officially executed","1793","1794","","","","","","","","","French Revolution (1789–1799): radical phase of","","","","","","","","","","","UH::Period::18th_Century, UH::Region::Europe::Western, UH::Theme::Politics"
"DtyZq5U9Rq","Revolutions of 1848","A wave of liberal, nationalist, and democratic uprisings across Europe, often called the “Springtime of Nations.”","1848","1849","Karl Marx (1818–1883): Observed the revolutions and developed his revolutionary critique of capitalism around this period.","Lajos Kossuth (1802–1894): Led the Hungarian revolution, one of the major uprisings of 1848.","Louis Blanc (1811–1882): French socialist whose ideas influenced the Parisian uprising of 1848.","","","","","","Second French Republic (1848–1852): Established in France as a direct result of the 1848 uprising.","Unification of Germany (1866–1871): Nationalist sentiments from 1848 later culminated in unification.","Unification of Italy (Risorgimento) (1848–1871): Italian uprisings in 1848 became part of the broader unification struggle.","","","","","","Although most uprisings failed, they left lasting legacies: constitutional reforms, abolition of serfdom in the Habsburg Empire, and political momentum for later national unifications.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"x>D]_y=f^W","Russo-Turkish War","War between Russia and allies against Ottoman Empire; resulted in independence of Romania, Serbia, and Montenegro and autonomy for Bulgaria.","1877","1878","Abdul Hamid II (1842–1918): Ottoman Sultan during the war and defeat.","Alexander II of Russia (1818–1881): Led Russia in support of Balkan independence movements.","","","","","","","Congress of Berlin (1878): Conference that revised the war's settlement.","Victorian Era (1837–1901): Contemporary event, part of 19th century European conflicts.","","","","","","","Treaty of San Stefano (March 3, 1878) was revised by Congress of Berlin. Major step toward dismantling Ottoman control of the Balkans.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"NNealv^CM|","Scramble for Africa","Rapid European colonization and partition of Africa.","1881","1914","Otto von Bismarck (1815–1898): Hosted the Berlin Conference that formalized colonial partition.","Queen Victoria (1819–1901): Symbol of British imperial expansion into Africa.","Wilhelm I (1797–1888): German emperor during the early phase of German colonial acquisition.","","","","","","Crimean War (1853–1856): Earlier power rivalries evolved into overseas competition.","Expansion of Railways (1830–1870): Rail technology enabled deeper penetration and control of territories.","Second Industrial Revolution (1870–1914): Industrial powers sought raw materials and markets in Africa.","","","","","","Driven by industrial demand, nationalism, and imperial competition.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Period::20th_Century, UH::Region::Africa, UH::Region::Europe"
"mFCT}}k.5m","Second French Empire","Napoleon III's imperial regime; period of industrialization and modernization of France that ended with defeat in the Franco-Prussian War.","1852","1870","Napoleon III (1808–1873): Nephew of Napoleon Bonaparte who ruled France as emperor.","","","","","","","","Franco-Prussian War (1870–1871): War that ended the Second Empire.","Second Italian War of Independence (1859): Napoleon III's major foreign policy venture.","Victorian Era (1837–1901): Contemporary period, Napoleon III and Victoria were contemporaries.","","","","","","Established after coup d'état on December 2, 1851. Era of major Paris reconstruction and economic growth. Ended with Napoleon III's capture at Sedan in 1870.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"H4QZD&0V>x","Second French Republic","Short-lived republican government formed after the 1848 revolution in France.","1848","1852","Louis Blanc (1811–1882): Served briefly in the provisional government, advocating social reforms.","Napoleon III (1808–1873): Elected president of the Republic before proclaiming himself emperor; born Louis-Napoléon Bonaparte.","Victor Hugo (1802–1885): Participated in politics and later chronicled the era’s struggles.","","","","","","Franco-Prussian War (1870–1871): The war ended the Second Empire that had replaced the Republic.","Paris Commune (1871): Later radical republicanism emerged after the fall of the Second Empire.","Revolutions of 1848 (1848–1849): Created as a direct outcome of the 1848 revolution in France.","","","","","","Ended when Louis-Napoleon declared himself Emperor Napoleon III.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"p1KG=fP9TY","Second Industrial Revolution","Wave of industrialization marked by steel, electricity, and chemicals.","1870","1914","Alexander II of Russia (1818–1881): Encouraged modernization and industrial development within the Russian Empire.","Otto von Bismarck (1815–1898): Presided over Germany’s rapid industrial expansion after unification.","Queen Victoria (1819–1901): Reigned over Britain during the height of late-19th-century industrial growth.","","","","","","American Civil War (1861–1865): Postwar developments in the United States formed part of the new industrial age.","Expansion of Railways (1830–1870): Relied on and extended railway infrastructure.","Scramble for Africa (1881–1914): Industrial powers sought overseas resources and markets.","","","","","","Laid foundations for modern industry, global trade, and technology.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"ci-~PN6znY","Second Italian War of Independence","War between France and Sardinia-Piedmont against Austria; resulted in Lombardy's transfer to Sardinia, advancing Italian unification.","1859","","Camillo Benso, Count of Cavour (1810–1861): Sardinian Prime Minister who orchestrated the alliance with France.","Napoleon III (1808–1873): Allied with Sardinia to fight Austria in exchange for Savoy and Nice.","Victor Emmanuel II (1820–1878): King of Sardinia-Piedmont who would become first King of unified Italy.","","","","","","Crimean War (1853–1856): Sardinia's participation won allies for unification.","Napoleonic Wars (1803–1815): Context for French involvement in Italian affairs.","Unification of Italy (Risorgimento) (1848–1871): This war was a key stage in the unification process.","","","","","","Major battles at Magenta and Solferino. France gained Savoy and Nice; Sardinia gained most of Lombardy.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"k+T}oG}0H<","Second Schleswig War","War between Denmark and Prussia-Austria over Schleswig-Holstein; Denmark's defeat led to major territorial losses and strengthened Prussia.","1864","","Christian IX (1818–1906): King whose signing of the November Constitution triggered the conflict.","Otto von Bismarck (1815–1898): Prussian Minister-President who provoked the war to advance German unification.","","","","","","","Austro-Prussian War (1866): Prussia and Austria fought over control of the duchies gained in this war.","Franco-Prussian War (1870–1871): The final war in Bismarck's unification strategy.","Unification of Germany (1866–1871): This war was the first of Bismarck's three wars leading to unification.","","","","","","Denmark lost 40% of its territory and about one million people. The war demonstrated Prussian military strength and Bismarck's diplomatic cunning.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"aj0N{d#Fnp","Storming of the Bastille","Parisian mob stormed the Bastille fortress on July 14, 1789, marking the start of the French Revolution","1789","","","","","","","","","","French Revolution (1789–1799): symbolic beginning of","","","","","","","","","","","UH::Period::18th_Century, UH::Region::Europe::Western, UH::Theme::Politics"
"lWbCMj&KEB","Thermidorian Reaction","Coup against Robespierre on 9 Thermidor (July 27, 1794), ending the Reign of Terror","1794","","Georges Danton (1759–1794): was partly caused by execution of","Maximilien Robespierre (1758–1794): led to execution of","","","","","","","French Revolution (1789–1799): moderate phase following the Terror","Reign of Terror (1793–1794): ended","","","","","","","Named after 9 Thermidor Year II in the French Republican Calendar (July 27, 1794). The Republican Calendar was adopted in 1793, replacing the Gregorian calendar with 12 months of 30 days each, named after natural phenomena. Thermidor (from Greek 'thermos' = heat) was the summer month roughly corresponding to July 19–August 17.","","","UH::Period::18th_Century, UH::Region::Europe::Western, UH::Theme::Politics"
"i8q[`T$yM;","Thirteenth Amendment to the US Constitution","Constitutional amendment that abolished slavery and involuntary servitude throughout the United States; first of the three Reconstruction Amendments.","1865","","Abraham Lincoln (1809–1865): President who pushed for the amendment's passage, though he was assassinated before ratification.","Andrew Johnson (1808–1875): President who secured ratification by requiring Southern states to ratify as part of Reconstruction.","William H. Seward (1801–1872): Secretary of State who proclaimed the amendment on December 18, 1865.","","","","","","American Civil War (1861–1865): The war led to the amendment's passage.","Emancipation Proclamation (Proclamation 95) (1863): The amendment completed what the proclamation began.","Victorian Era (1837–1901): Contemporary period.","","","","","","Passed by Senate April 8, 1864, and House January 31, 1865. Ratified December 6, 1865 when Georgia became the 27th state to ratify. Proclaimed December 18, 1865. Exception clause allows involuntary servitude as punishment for crime.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::North_America"
"bZgXHup$Vt","Unification of Germany","The process, driven largely by Prussia, that united numerous German states into the German Empire.","1866","1871","Helmuth von Moltke the Elder (1800–1891): Directed Prussian military campaigns crucial to unification.","Otto von Bismarck (1815–1898): Orchestrated political and military moves that unified the German states.","Wilhelm I (1797–1888): Became the first German Emperor after unification.","","","","","","Austro-Prussian War (1866): Prussian victory weakened Austria and advanced unification.","Franco-Prussian War (1870–1871): Final conflict that rallied German states and produced the empire.","Revolutions of 1848 (1848–1849): Earlier, failed attempts at German unity influenced later strategies.","","","","","","The empire was proclaimed in the Hall of Mirrors at Versailles, symbolically asserting German dominance after defeating France. This unification shifted Europe’s power balance for decades.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"tZ3e(sOwIZ","Unification of Italy (Risorgimento)","Series of political and military efforts to unify the Italian peninsula.","1848","1871","Giuseppe Mazzini (1805–1872): Prominent Italian nationalist whose ideas inspired the Risorgimento.","Napoleon III (1808–1873): Supported and then constrained Italian unification efforts through diplomacy and war.","Queen Victoria (1819–1901): British monarch whose government often backed Italian national aspirations.","","","","","","Crimean War (1853–1856): Participation by Piedmont-Sardinia won allies useful for unification.","Revolutions of 1848 (1848–1849): Italian uprisings in 1848 were key stages of the Risorgimento.","Unification of Germany (1866–1871): Both processes reflected 19th-century nationalist movements.","","","","","","Completed with Rome becoming the capital.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe"
"su[Q[=~E@C","Venezuelan War of Independence","Venezuelan struggle for independence from Spanish colonial rule; achieved through prolonged military campaigns led by Bolívar culminating in the Battle of Carabobo and establishment of Gran Colombia.","1810","1823","Antonio José de Sucre (1795–1830): Bolívar's chief lieutenant who commanded crucial victories including Ayacucho.","Simón Bolívar (1783–1830): Commander and political leader who led the independence movement and liberated Venezuela.","","","","","","","Congress of Angostura (1819): Established Gran Colombia during the independence struggle.","Napoleonic Wars (1803–1815): Spain's involvement in European conflicts weakened colonial control, enabling independence movements.","Victorian Era (1837–1901): Later contemporary period.","","","","","","First Republic declared July 5, 1811, but collapsed after 1812 earthquake. Bolívar's Admirable Campaign of 1813 established Second Republic, which also fell. Battle of Boyacá (August 7, 1819) liberated New Granada. Decisive Battle of Carabobo (June 24, 1821) secured Venezuelan independence. Final Spanish forces defeated at Lake Maracaibo naval battle (July 24, 1823).","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::South_America"
"vij{}@jxfT","Vicksburg campaign","Union campaign culminating in the siege and capture of Vicksburg, giving the Union control of the Mississippi River; Grant's forces won five battles in three weeks before besieging the city for 40 days until Confederate surrender on July 4, 1863.","1862","1863","Ulysses S. Grant (1822–1885): Commanded Union Army of the Tennessee in the campaign called ""the most brilliant and innovative campaign of the Civil War"".","","","","","","","","American Civil War (1861–1865): The campaign was a decisive turning point in the war.","Appomattox Campaign (1865): Grant's later campaign that ended the war.","Emancipation Proclamation (Proclamation 95) (1863): Occurred during the same period.","","","","","","Campaign began in 1862. Grant crossed Mississippi River at Bruinsburg, won battles at Port Gibson, Raymond, and Jackson (captured May 14, 1863). Siege began May 25, 1863 after failed assaults May 19 and 22. Confederate General John C. Pemberton surrendered July 4, 1863, giving Union control of the Mississippi River. Historian James McPherson called it ""the most brilliant and innovative campaign of the Civil War.""","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::North_America"
"s:7/cm<}cq","Victorian Era","Period of Queen Victoria's reign marked by British industrial dominance, vast imperial expansion, and major social and scientific changes.","1837","1901","Benjamin Disraeli (1804–1881): Prime Minister who had an exceptionally close relationship with Victoria and made her Empress of India.","Prince Albert of Saxe-Coburg and Gotha (1819–1861): Victoria's consort whose death in 1861 profoundly affected the queen and the era.","Queen Victoria (1819–1901): Reigned for 63 years, longest in British history at the time.","","","","","","Industrial Revolution (c. 1760–c. 1840): The Victorian Era saw the culmination and continuation of industrialization.","Scramble for Africa (1881–1914): British imperial expansion was a defining feature of the era.","Second Industrial Revolution (1870–1914): Major overlap with the late Victorian period drove further technological advances.","","","","","","Britain became the world's first global industrial power. The empire expanded to rule one-fourth of the global population.","","Claude Sonnet 4.5","UH::Period::19th_Century, UH::Region::Europe"
"JC`6a_0/R_","Voyage of the HMS <i>Beagle</i>","Scientific expedition during which Darwin developed key evolutionary insights.","1831","1836","Alfred Russel Wallace (1823–1913): Later independently conceived a theory of evolution by natural selection, closely linked to Darwin’s work.","Charles Darwin (1809–1882): Sailed on HMS Beagle, gathering observations that led to his theory of evolution.","Thomas Henry Huxley (1825–1895): Became a leading defender of Darwin’s ideas after the voyage’s scientific results were published.","","","","","","Industrial Revolution (c. 1760–c. 1840): Took place during a period of expanding scientific curiosity and exploration.","Scramble for Africa (1881–1914): Scientific exploration and classification later intersected with imperial expansion.","Second Industrial Revolution (1870–1914): The science it inspired fed into later technological advances.","","","","","","Provided Darwin with crucial observations that led to his theory of natural selection.","","ChatGPT 5.1","UH::Period::19th_Century, UH::Region::Europe, UH::Region::Oceania, UH::Region::South_America"
